Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Confusion Matrix
8,4,0.1219,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.25,0.441,0.2667,0.6393,0.5139,"[[35, 10], [12, 4]]"
8,4,2.0271,GridSearch-AFW-CIL,"K=5,s=0.1",0.6667,0.5,0.5774,0.4103,0.623,0.5833,"[[30, 15], [8, 8]]"
8,4,5.5534,PSO-AFW-CIL,"K=6,s1=0.500,s2=0.010,s3=0.500,s4=0.309",0.6444,0.5,0.5676,0.4,0.6066,0.5722,"[[29, 16], [8, 8]]"
8,5,0.0184,W-SVM,baseline,0.9333,0.375,0.5916,0.48,0.7869,0.6542,"[[42, 3], [10, 6]]"
8,5,0.0991,AFW-CIL_fixed,fixed_sigma_1.2,0.8889,0.3125,0.527,0.3846,0.7377,0.6007,"[[40, 5], [11, 5]]"
8,5,1.9668,GridSearch-AFW-CIL,"K=5,s=0.1",0.7778,0.5625,0.6614,0.5143,0.7213,0.6701,"[[35, 10], [7, 9]]"
8,5,4.8924,PSO-AFW-CIL,"K=5,s1=0.166,s2=0.010,s3=0.471,s4=0.361",0.7111,0.6875,0.6992,0.55,0.7049,0.6993,"[[32, 13], [5, 11]]"
9,1,0.012,W-SVM,baseline,1.0,0.0,0.0,0.0,0.7258,0.5,"[[45, 0], [17, 0]]"
9,1,0.1063,AFW-CIL_fixed,fixed_sigma_1.2,0.8667,0.4706,0.6386,0.5161,0.7581,0.6686,"[[39, 6], [9, 8]]"
9,1,2.0572,GridSearch-AFW-CIL,"K=3,s=0.1",0.8444,0.4706,0.6304,0.5,0.7419,0.6575,"[[38, 7], [9, 8]]"
9,1,5.5487,PSO-AFW-CIL,"K=4,s1=0.319,s2=0.181,s3=0.101,s4=0.603",0.8444,0.4706,0.6304,0.5,0.7419,0.6575,"[[38, 7], [9, 8]]"
9,2,0.0213,W-SVM,baseline,0.8889,0.25,0.4714,0.32,0.7213,0.5694,"[[40, 5], [12, 4]]"
9,2,0.0987,AFW-CIL_fixed,fixed_sigma_1.2,0.8444,0.3125,0.5137,0.3571,0.7049,0.5785,"[[38, 7], [11, 5]]"
9,2,1.9176,GridSearch-AFW-CIL,"K=11,s=0.1",0.7556,0.5625,0.6519,0.5,0.7049,0.659,"[[34, 11], [7, 9]]"
9,2,5.2895,PSO-AFW-CIL,"K=8,s1=0.022,s2=0.067,s3=0.424,s4=0.990",0.6667,0.5625,0.6124,0.45,0.6393,0.6146,"[[30, 15], [7, 9]]"
9,3,0.0158,W-SVM,baseline,0.8222,0.5,0.6412,0.5,0.7377,0.6611,"[[37, 8], [8, 8]]"
9,3,0.1009,AFW-CIL_fixed,fixed_sigma_1.2,0.7778,0.5,0.6236,0.4706,0.7049,0.6389,"[[35, 10], [8, 8]]"
